CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41675367,J-M PIZZA II,BROOKLYN,1323,AVENUE U,11229.0,7186456010,Pizza,06/10/2016,Violations were cited in the following area(s).,02G,30.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40397626,JENTANA'S PIZZA,BROOKLYN,5102,FT HAMILTON PARKWAY,11219.0,7188714050,Pizza,07/02/2014,Violations were cited in the following area(s).,04M,28.0,B,07/02/2014,04/22/2017,Cycle Inspection / Re-inspection
40743416,DOMINO'S,QUEENS,7802,JAMAICA AVENUE,11421.0,7182960303,Pizza,03/17/2015,Violations were cited in the following area(s).,10E,25.0,B,03/17/2015,04/22/2017,Cycle Inspection / Re-inspection
50006046,LITTLE CAESARS,BROOKLYN,1110,PENNSYLVANIA AVE,11207.0,7184843666,Pizza,10/27/2015,Violations were cited in the following area(s).,10B,6.0,A,10/27/2015,04/22/2017,Cycle Inspection / Re-inspection
40743370,DOMINO'S,BROOKLYN,7722,13 AVENUE,11228.0,7188339222,Pizza,07/08/2014,Violations were cited in the following area(s).,10F,2.0,A,07/08/2014,04/22/2017,Cycle Inspection / Re-inspection
41381773,DOMINO'S,BROOKLYN,328,MYRTLE AVENUE,11205.0,7185223733,Pizza,08/20/2014,Violations were cited in the following area(s).,05D,10.0,A,08/20/2014,04/22/2017,Cycle Inspection / Re-inspection
41246521,ORIGINAL MIKE'S PIZZA,BROOKLYN,3337,FULTON STREET,11208.0,7182777494,Pizza,07/12/2016,Violations were cited in the following area(s).,10F,13.0,A,07/12/2016,04/22/2017,Cycle Inspection / Re-inspection
50000059,BOARDWALK PIZZERIA RESTAURANT,QUEENS,6820,ROCKAWAY BEACH BOULEVARD,11692.0,3476198002,Pizza,12/23/2013,Violations were cited in the following area(s).,04N,12.0,A,12/23/2013,04/22/2017,Cycle Inspection / Re-inspection
41391794,BEST PIZZA ON 1ST.,MANHATTAN,1038,1 AVENUE,10022.0,2126448400,Pizza,10/15/2014,Violations were cited in the following area(s).,04H,26.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41561022,99 CENTS FRESH HOT PIZZA,BROOKLYN,51,WILLOUGHBY STREET,11201.0,7187973841,Pizza,02/19/2015,Violations were cited in the following area(s).,04J,32.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41222682,NY PIZZA CAFE & SPANISH FOOD RESTAURANT,BROOKLYN,1485,MYRTLE AVENUE,11237.0,7184561930,Pizza,06/11/2015,Violations were cited in the following area(s).,08A,13.0,A,06/11/2015,04/22/2017,Cycle Inspection / Re-inspection
40400251,QUENTIN PIZZA,BROOKLYN,3211,QUENTIN ROAD,11234.0,7183765384,Pizza,07/15/2015,Violations were cited in the following area(s).,02G,20.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41291308,VILLA MARIA PIZZERIA,BRONX,2440,EASTCHESTER ROAD,10469.0,7188827446,Pizza,06/22/2015,Violations were cited in the following area(s).,02G,7.0,A,06/22/2015,04/22/2017,Cycle Inspection / Initial Inspection
41368950,GOTHAM PIZZA,MANHATTAN,144,9 AVENUE,10011.0,2129898858,Pizza,04/10/2017,Violations were cited in the following area(s).,06D,59.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41000961,BLEEKER STREET PIZZA,MANHATTAN,69,7 AVENUE SOUTH,10014.0,2129244466,Pizza,07/01/2016,Violations were cited in the following area(s).,10I,13.0,A,07/01/2016,04/22/2017,Cycle Inspection / Re-inspection
40395200,UNO PIZZERIA AND GRILL,MANHATTAN,220,EAST   86 STREET,10028.0,2124725656,Pizza,03/05/2014,Violations were cited in the following area(s).,06C,16.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50011289,PASTAFINA PIZZA,MANHATTAN,388,3RD AVE,10016.0,2122510708,Pizza,05/18/2015,Violations were cited in the following area(s).,08A,52.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50047416,PIZZA ON THE RUN,BROOKLYN,2914,STILLWELL AVE,11224.0,7185130454,Pizza,04/12/2017,Violations were cited in the following area(s).,08A,25.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41661062,PERCY'S PIZZA,MANHATTAN,190,BLEEKER STREET,10012.0,2123881355,Pizza,06/19/2013,Violations were cited in the following area(s).,04L,45.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
50011519,LA VITA MIA PIZZERIA RESTAURANT,QUEENS,2801,24TH AVE,11102.0,7182670310,Pizza,08/17/2016,Violations were cited in the following area(s).,06F,24.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40744492,PRONTO PIZZA,BROOKLYN,2928,AVENUE R,11229.0,7186274983,Pizza,08/01/2013,Violations were cited in the following area(s).,22A,,,,04/22/2017,Administrative Miscellaneous / Initial Inspection
41656246,NEW MARIOS PIZZERIA,BROOKLYN,373,WAVERLY AVENUE,11238.0,7187836565,Pizza,04/01/2017,Violations were cited in the following area(s).,06F,7.0,A,04/01/2017,04/22/2017,Cycle Inspection / Re-inspection
41271801,PINO'S,BROOKLYN,5201,5 AVENUE,11220.0,7184396012,Pizza,05/06/2015,Violations were cited in the following area(s).,08C,37.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50038127,PIZZA SPOT,QUEENS,8638,96TH ST,11421.0,7184806808,Pizza,07/27/2015,Violations were cited in the following area(s).,10A,68.0,,,04/22/2017,Pre-permit (Non-operational) / Initial Inspection
50007215,MARTINIELLO'S PIZZERIA,QUEENS,9506,ROOSEVELT AVE,11372.0,7187794733,Pizza,07/16/2015,Violations were cited in the following area(s).,02B,7.0,A,07/16/2015,04/22/2017,Cycle Inspection / Initial Inspection
41650542,LITTLE CAESARS,QUEENS,12707,MERRICK BOULEVARD,11434.0,7182765505,Pizza,10/01/2015,Violations were cited in the following area(s).,02G,10.0,A,10/01/2015,04/22/2017,Cycle Inspection / Re-inspection
40515448,FREDDIE & PEPPER'S PIZZA,MANHATTAN,303,AMSTERDAM AVENUE,10023.0,2127992378,Pizza,03/26/2015,Violations were cited in the following area(s).,02G,25.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41651087,LITTLE CAESARS,QUEENS,20501,LINDEN BLVD,11412.0,3475485566,Pizza,10/30/2013,Violations were cited in the following area(s).,08A,15.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41177037,QUEEN'S PIZZA,QUEENS,11614,QUEENS BOULEVARD,11375.0,7185445800,Pizza,01/10/2014,Violations were cited in the following area(s).,06D,12.0,A,01/10/2014,04/22/2017,Cycle Inspection / Re-inspection
50001201,PORTO BELLO PIZZERIA & RESTAURANT,QUEENS,43-18,DITMARS BLVD,11105.0,7182048766,Pizza,02/09/2016,Violations were cited in the following area(s).,05D,23.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50005552,MJ PIZZA,MANHATTAN,1976,1ST AVE,10029.0,2129962866,Pizza,07/29/2015,Violations were cited in the following area(s).,10F,19.0,B,07/29/2015,04/22/2017,Cycle Inspection / Re-inspection
41571471,LITTLE CAESARS,QUEENS,14605,JAMAICA AVENUE,11435.0,7182973450,Pizza,06/19/2014,Violations were cited in the following area(s).,09A,9.0,A,06/19/2014,04/22/2017,Cycle Inspection / Re-inspection
50014941,DOMINO'S,BROOKLYN,1216,CORTELYOU RD,11218.0,7186920900,Pizza,10/15/2014,Violations were cited in the following area(s).,06D,31.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
41633964,GLORIA PIZZA,QUEENS,10822,QUEENS BOULEVARD,11375.0,7182631100,Pizza,05/04/2016,Violations were cited in the following area(s).,08A,11.0,A,05/04/2016,04/22/2017,Cycle Inspection / Initial Inspection
40639672,ROMA PIZZA,BRONX,735,ALLERTON AVE,10467.0,7187984825,Pizza,09/23/2015,Violations were cited in the following area(s).,04N,22.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41604710,LITTLE CAESARS,BRONX,2537,DECATUR AVENUE,10458.0,3475908980,Pizza,07/30/2014,Violations were cited in the following area(s).,04L,35.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41028321,D'ANGELO'S PIZZA,BRONX,902,EAST GUN HILL ROAD,10469.0,7183256448,Pizza,07/11/2013,Violations were cited in the following area(s).,02G,17.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40743370,DOMINO'S,BROOKLYN,7722,13 AVENUE,11228.0,7188339222,Pizza,05/29/2014,Violations were cited in the following area(s).,10F,14.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41343142,V.I. PIZZA,QUEENS,4302,BELL BOULEVARD,11361.0,7182299311,Pizza,11/03/2016,Violations were cited in the following area(s).,04A,10.0,A,11/03/2016,04/22/2017,Cycle Inspection / Initial Inspection
40395200,UNO PIZZERIA AND GRILL,MANHATTAN,220,EAST   86 STREET,10028.0,2124725656,Pizza,12/14/2016,Violations were cited in the following area(s).,04N,36.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41368950,GOTHAM PIZZA,MANHATTAN,144,9 AVENUE,10011.0,2129898858,Pizza,03/09/2016,Violations were cited in the following area(s).,06E,7.0,A,03/09/2016,04/22/2017,Cycle Inspection / Re-inspection
41540355,LITTLE CAESARS,BRONX,119,WEST KINGSBRIDGE ROAD,10468.0,3478430730,Pizza,05/13/2015,Violations were cited in the following area(s).,02G,19.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50001396,PIZZA PLUS,MANHATTAN,2253,3RD AVE,10035.0,2122892400,Pizza,07/14/2015,Violations were cited in the following area(s).,04L,23.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41343142,V.I. PIZZA,QUEENS,4302,BELL BOULEVARD,11361.0,7182299311,Pizza,07/11/2015,Violations were cited in the following area(s).,02B,21.0,B,07/11/2015,04/22/2017,Cycle Inspection / Re-inspection
41633964,GLORIA PIZZA,QUEENS,10822,QUEENS BOULEVARD,11375.0,7182631100,Pizza,06/20/2013,Violations were cited in the following area(s).,02G,10.0,A,06/20/2013,04/22/2017,Cycle Inspection / Re-inspection
41006323,PAPA JOHN'S,QUEENS,16202,UNION TURNPIKE,11366.0,7185917272,Pizza,12/28/2013,Violations were cited in the following area(s).,10F,26.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40743368,DOMINO'S,QUEENS,12521,ROCKAWAY BOULEVARD,11420.0,7188353030,Pizza,07/23/2014,Violations were cited in the following area(s).,06D,29.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50040670,TUTI'S PIZZERIA RESTAURANT,BRONX,34,W 183RD ST,10453.0,6465004985,Pizza,08/11/2016,Violations were cited in the following area(s).,10H,12.0,A,08/11/2016,04/22/2017,Cycle Inspection / Initial Inspection
40604769,FAMOUS FAMIGLIA,MANHATTAN,734,AMSTERDAM AVENUE,10025.0,2128647193,Pizza,10/14/2014,Violations were cited in the following area(s).,06D,29.0,C,10/14/2014,04/22/2017,Cycle Inspection / Re-inspection
41501115,MILANO'S PIZZERIA,MANHATTAN,2255,2 AVENUE,10029.0,2129965141,Pizza,04/08/2016,Violations were cited in the following area(s).,02B,10.0,A,04/08/2016,04/22/2017,Cycle Inspection / Initial Inspection
41389364,VALIANO PIZZA,STATEN ISLAND,309,BRADLEY AVENUE,10314.0,7189831400,Pizza,06/17/2015,Violations were cited in the following area(s).,06C,10.0,A,06/17/2015,04/22/2017,Cycle Inspection / Re-inspection
40837605,BRICK OVEN PIZZA 33,MANHATTAN,201,EAST   33 STREET,10016.0,2125459191,Pizza,10/14/2015,Violations were cited in the following area(s).,10F,25.0,B,10/14/2015,04/22/2017,Cycle Inspection / Re-inspection
41661062,PERCY'S PIZZA,MANHATTAN,190,BLEEKER STREET,10012.0,2123881355,Pizza,06/19/2013,Violations were cited in the following area(s).,06A,45.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
50036867,SAPORE DI CASA,QUEENS,22330,UNION TPKE,11364.0,7182175555,Pizza,11/27/2015,Violations were cited in the following area(s).,06C,7.0,A,11/27/2015,04/22/2017,Pre-permit (Operational) / Re-inspection
50017280,PIZZA ROLLIO,MANHATTAN,1,W 58TH ST,10019.0,6462621438,Pizza,12/21/2016,Violations were cited in the following area(s).,06D,13.0,A,12/21/2016,04/22/2017,Cycle Inspection / Re-inspection
41479049,MARGHERITA'S PIZZA,BRONX,945,EAST  163 STREET,10459.0,3475974918,Pizza,03/17/2017,Violations were cited in the following area(s).,05D,36.0,Z,03/17/2017,04/22/2017,Cycle Inspection / Re-inspection
41633964,GLORIA PIZZA,QUEENS,10822,QUEENS BOULEVARD,11375.0,7182631100,Pizza,11/25/2013,Violations were cited in the following area(s).,10B,13.0,A,11/25/2013,04/22/2017,Cycle Inspection / Initial Inspection
50050795,I LOVE NY PIZZA,BRONX,2086,ARTHUR AVE,10457.0,3475771844,Pizza,09/19/2016,Establishment re-opened by DOHMH,10F,2.0,,,04/22/2017,Pre-permit (Operational) / Reopening Inspection
50016844,ROSE PIZZA,MANHATTAN,1,PENN PLAZA,10119.0,2125947817,Pizza,07/08/2015,Violations were cited in the following area(s).,10F,6.0,A,07/08/2015,04/22/2017,Cycle Inspection / Initial Inspection
50017876,Little Gio's Pizza,MANHATTAN,26,1ST AVE,10009.0,2124778020,Pizza,03/18/2015,Violations were cited in the following area(s).,09B,12.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
40745681,JUNIOR'S CAFE,QUEENS,4618,VERNON BOULEVARD,11101.0,7184729694,Pizza,10/22/2015,Violations were cited in the following area(s).,16B,,,,04/22/2017,Trans Fat / Re-inspection
50036867,SAPORE DI CASA,QUEENS,22330,UNION TPKE,11364.0,7182175555,Pizza,09/15/2016,Violations were cited in the following area(s).,08A,20.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40884718,DOMINO'S,BROOKLYN,1479,FULTON STREET,11216.0,7182214800,Pizza,03/13/2017,Violations were cited in the following area(s).,04A,22.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40367789,DANI PIZZA AND RESTAURANT,QUEENS,8128,LEFFERTS BOULEVARD,11415.0,7188462849,Pizza,02/23/2016,Violations were cited in the following area(s).,10E,11.0,A,02/23/2016,04/22/2017,Cycle Inspection / Re-inspection
41046279,CHUCK E. CHEESE'S,BROOKLYN,139,FLATBUSH AVENUE,11217.0,7182308245,Pizza,08/24/2015,Violations were cited in the following area(s).,09C,9.0,A,08/24/2015,04/22/2017,Cycle Inspection / Initial Inspection
40837605,BRICK OVEN PIZZA 33,MANHATTAN,201,EAST   33 STREET,10016.0,2125459191,Pizza,10/31/2013,Violations were cited in the following area(s).,08A,33.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41571471,LITTLE CAESARS,QUEENS,14605,JAMAICA AVENUE,11435.0,7182973450,Pizza,12/20/2016,Violations were cited in the following area(s).,04N,24.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40902084,VICTORIA'S PIZZERIA,QUEENS,11117,ROOSEVELT AVENUE,11368.0,7188038408,Pizza,01/13/2016,Violations were cited in the following area(s).,06A,23.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41704249,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,1398,MADISON AVENUE,10029.0,2129969797,Pizza,07/27/2015,Violations were cited in the following area(s).,04M,13.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41645519,NICK'S PIZZA,BRONX,1356,EAST GUN HILL ROAD,10469.0,7186526500,Pizza,08/17/2015,Violations were cited in the following area(s).,15L,,,,04/22/2017,Smoke-Free Air Act / Re-inspection
41676393,JOHNNY'S PIZZA RESTAURANT,BRONX,535,EAST  180 STREET,10457.0,7183656565,Pizza,03/26/2014,Violations were cited in the following area(s).,10F,10.0,A,03/26/2014,04/22/2017,Cycle Inspection / Initial Inspection
50058843,PITT PIZZERIA,MANHATTAN,85,PITT ST,10002.0,2129792415,Pizza,02/21/2017,Violations were cited in the following area(s).,04M,40.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
41164361,BEST ITALIAN PIZZA,BRONX,200-202,EAST FORDHAM ROAD,10458.0,7185625806,Pizza,08/21/2013,Violations were cited in the following area(s).,02G,10.0,A,08/21/2013,04/22/2017,Cycle Inspection / Re-inspection
50013380,PIZZA,MANHATTAN,84,HESTER ST,10002.0,2122197766,Pizza,07/22/2015,Violations were cited in the following area(s).,06B,9.0,A,07/22/2015,04/22/2017,Cycle Inspection / Initial Inspection
50011289,PASTAFINA PIZZA,MANHATTAN,388,3RD AVE,10016.0,2122510708,Pizza,08/08/2016,Violations were cited in the following area(s).,10F,12.0,A,08/08/2016,04/22/2017,Cycle Inspection / Initial Inspection
40388419,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,2859,BROADWAY,10025.0,2128651234,Pizza,08/20/2014,Violations were cited in the following area(s).,10D,25.0,B,08/20/2014,04/22/2017,Cycle Inspection / Re-inspection
41641875,SUSANO'S PIZZERIA & RESTAURANT,QUEENS,679,SENECA AVENUE,11385.0,7183811717,Pizza,09/17/2015,Violations were cited in the following area(s).,04L,39.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40743416,DOMINO'S,QUEENS,7802,JAMAICA AVENUE,11421.0,7182960303,Pizza,03/12/2014,Violations were cited in the following area(s).,10A,9.0,A,03/12/2014,04/22/2017,Cycle Inspection / Initial Inspection
